		Inserción	Mezcla		
5000		0			0
10000	0.069190	0.0016870	 	
10000	0.068266	0.0065620	 	
10000	0.067328	0.0024840	 	
10000	0.067773	0.0021500	 	
10000	0.068138	0.0076620		
10000	0.069169	0.0069380		
10000	0.071014	0.0028280		
10000	0.096890	0.0018260		
10000	0.073255	0.0065950		
10000	0.103957	0.0022540		
100000 	6.747350	0.0207920
100000 	6.804620	0.0197990
100000 	6.830610	0.0365160
100000 	6.829280	0.0460220
100000 	6.935480	0.1957700
100000 	6.798230	0.0406220
100000 	6.899970	0.0198950
100000 	6.832830	0.0195570
100000 	6.918700	0.0203030
100000 	6.829210	0.0199950
1000000 699.2070	0.2185890
1000000 699.8210	0.2190170
1000000 678.8460	0.2196980
1000000 681.5100	0.2198890
1000000 680.6210	0.2205450
1000000 696.2640	0.2203660
1000000 685.8450	0.2189060
1000000 678.1360	0.2214000
1000000 682.8790	0.2186320
1000000 677.6550	0.2193490
2000000	0	0
