	Inserción			Mezcla		
#	10k	100k	1M	10k	100k	1M
1	0.069190	6.747350	699.2070	0.0016870	0.0207920 	0.2185890
2	0.068266	6.804620	699.8210	0.0065620	0.0197990 	0.2190170
3	0.067328	6.830610	678.8460	0.0024840	0.0365160 	0.2196980
4	0.067773	6.829280	681.5100	0.0021500	0.0460220 	0.2198890
5	0.068138	6.935480	680.6210	0.0076620	0.1957700	0.2205450
6	0.069169	6.798230	696.2640	0.0069380	0.0406220	0.2203660
7	0.071014	6.899970	685.8450	0.0028280	0.0198950	0.2189060
8	0.096890	6.832830	678.1360	0.0018260	0.0195570	0.2214000
9	0.073255	6.918700	682.8790	0.0065950	0.0203030	0.2186320
10	0.103957	6.829210	677.6550	0.0022540	0.0199950	0.2193490
AVE	0.075498	6.842628	686.0784	0.0040986	0.0439271	0.2196391
